StartTime: 2020-01-03 15:57:22.479
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	16:30:19.939	-0.2271	0.0415	1.1499	4.5776	-27.5879	-1.8921	1.5710	6.2567	31.6846	37.1418 
0x50	16:30:19.988	-0.2217	0.0391	1.1367	3.9063	-22.6440	0.9155	1.7688	5.2405	31.6956	37.1271 
0x50	16:30:20.036	-0.1768	0.0552	1.1509	8.9722	-36.2549	-0.3052	2.1533	3.5980	31.6132	37.1241 
0x50	16:30:20.085	-0.1528	0.0527	1.0806	6.9580	-32.6538	1.2817	2.5104	2.0764	31.6132	37.1359 
0x50	16:30:20.137	-0.1313	0.0615	1.1050	5.5542	-27.3438	-4.1504	2.7466	0.7471	31.3715	37.1330 
0x50	16:30:20.183	-0.1431	0.0586	1.0498	-5.3711	-8.1177	11.9629	2.4939	0.4614	31.9482	37.1447 
0x50	16:30:20.232	-0.1079	0.0532	1.0889	0.0000	-13.9771	0.9155	2.4719	-0.0659	31.9647	37.1300 
0x50	16:30:20.281	-0.0957	0.0610	1.0771	3.9673	-20.0195	0.5493	2.6807	-0.9503	31.9482	37.1388 
0x50	16:30:20.332	-0.0386	0.0571	1.0591	-8.1787	-27.1606	6.8359	2.3840	-2.0929	32.1954	37.1388 
0x50	16:30:20.378	-0.0898	0.0527	1.0566	-6.4087	-38.2080	-0.8545	2.0819	-3.8287	32.0746	37.1183 
0x50	16:30:20.427	-0.0322	0.0610	1.0864	-5.4932	-24.6582	-1.8921	1.7908	-4.8560	32.0856	37.1300 
0x50	16:30:20.476	-0.0356	0.0469	1.0132	-0.6104	-21.6675	1.9531	1.7688	-5.7898	32.1515	37.1241 
0x50	16:30:20.525	0.0464	0.0522	1.0493	6.0425	-21.4233	-6.2256	2.0160	-6.7236	31.9482	37.1183 
0x50	16:30:20.623	-0.0645	0.0542	0.9453	1.7700	-24.1699	-2.5024	2.1478	-7.7014	31.7834	37.1241 
0x50	16:30:20.672	-0.0220	0.0596	0.9517	8.2397	-24.9023	-9.8267	2.5543	-8.7067	31.3934	37.1212 
0x50	16:30:20.721	0.0161	0.0425	0.9712	-4.8828	-11.4746	3.7842	2.4390	-9.1571	31.4594	37.1271 
