StartTime: 2019-12-31 14:44:09.151
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:55:17.170	0.0474	-0.9082	0.0532	7.8735	-45.0439	-3.3569	-86.8579	-11.3818	3.2355	40.0360 
0x50	14:55:17.219	0.1143	-0.9136	0.0137	-10.0098	-7.9956	11.3525	-87.2479	-10.8929	3.6584	40.0360 
0x50	14:55:17.269	0.0562	-0.8940	-0.0015	10.1318	0.8545	43.5791	-86.9458	-8.6298	3.6090	40.0242 
0x50	14:55:17.319	0.0205	-0.9482	0.0161	-6.7749	9.2163	44.7998	-86.8085	-6.2457	3.4003	40.0272 
0x50	14:55:17.369	-0.0005	-0.8823	-0.0117	-6.1035	-13.3667	13.0615	-87.3907	-5.4932	3.8672	40.0213 
0x50	14:55:17.420	-0.0234	-0.9160	0.0151	6.4697	-6.7139	21.3013	-87.3578	-4.5099	4.4550	40.0331 
0x50	14:55:17.483	-0.0127	-0.9312	0.0259	-9.3384	-8.1177	14.5874	-87.8687	-3.7024	4.8944	40.0184 
0x50	14:55:17.519	-0.0474	-0.9102	-0.0029	0.7935	8.7891	7.8125	-88.1378	-3.3344	4.6912	40.0272 
0x50	14:55:17.569	-0.0332	-0.9312	0.0093	-2.7466	20.5688	3.4180	-88.2422	-3.0267	3.6694	40.0331 
0x50	14:55:17.618	-0.0200	-0.8892	-0.0112	4.7607	-13.3057	-7.5684	-88.4729	-3.4882	4.0704	40.0184 
0x50	14:55:17.668	-0.0464	-0.9038	0.0210	7.8735	-1.3428	6.1646	-88.0939	-3.0597	4.1473	40.0331 
0x50	14:55:17.719	-0.0186	-0.9331	-0.0093	-16.7236	3.1738	-16.5405	-88.9728	-3.7299	3.9111	40.0331 
0x50	14:55:17.769	-0.0137	-0.9067	-0.0186	4.0894	-1.7090	-0.7324	-88.8190	-3.6749	3.9935	40.0272 
0x50	14:55:17.818	-0.0239	-0.9150	0.0015	1.3428	-1.0376	4.4556	-88.7585	-3.3563	4.0814	40.0272 
0x50	14:55:17.875	-0.0303	-0.9321	-0.0127	-2.9907	2.7466	2.2583	-88.9398	-3.1421	3.9441	40.0242 
0x50	14:55:17.919	-0.0254	-0.8999	-0.0225	0.4883	-3.5400	-3.5400	-89.2145	-3.1421	4.0155	40.0184 
